三轮浮生 Pauwi na,保罗·维拉拉纳,2017,金爵奖 Golden Goblet Award
烽火芳菲,比利·奥古斯特,2017,金爵奖 Golden Goblet Award
疯癫之翼 Mad to Be Normal,罗伯特·穆兰,2017,金爵奖 Golden Goblet Award
明月几时有,许鞍华,2017,金爵奖 Golden Goblet Award
冰之下,蔡尚君,2017,金爵奖 Golden Goblet Award
追忆 追憶,降旗康男,2017,金爵奖 Golden Goblet Award
哈尔姆斯 Хармс,劳拉·佩里尼,2017,金爵奖 Golden Goblet Award
布里斯比熊 Brigsby Bear,伊万·布洛茨尼科夫,2017,金爵奖 Golden Goblet Award
我是杀人犯 Jestem Mordercą,戴夫·麦卡里,2017,金爵奖 Golden Goblet Award
故障状况 Scurtcircuit,劳拉·佩里尼,2017,金爵奖 Golden Goblet Award
我单纯的兄弟 Simpel,玛利亚·格拉齐亚·佩里亚,2017,金爵奖 Golden Goblet Award
巨大而可怕的世界里 Nel mondo grande e terribile,马切伊·佩普日察,2017,金爵奖 Golden Goblet Award
筹款风波 زرد,克特林·萨伊泽斯库,2017,金爵奖 Golden Goblet Award
