暮年困境 El Comienzo del Tiempo,"
                            博纳多·阿雷亚诺
                        ",2015,天坛奖 Tiantan Award
狼图腾,"
                            让-雅克·阿诺
                        ",2015,天坛奖 Tiantan Award
智取威虎山,"
                            徐克
                        ",2015,天坛奖 Tiantan Award
举报者 제보자,"
                            林顺礼
                        ",2015,天坛奖 Tiantan Award
爱与和平 ラブ&ピース,"
                            园子温
                        ",2015,天坛奖 Tiantan Award
堕落 The Falling,"
                            卡罗尔·莫雷
                        ",2015,天坛奖 Tiantan Award
实验者 Experimenter,"
                            米歇尔·阿米瑞亚德
                        ",2015,天坛奖 Tiantan Award
抉择 La scelta,"
                            米凯莱·普拉奇多
                        ",2015,天坛奖 Tiantan Award
格鲁伯·特蒙特 Gruber geht,"
                            玛丽·克鲁泽
                        ",2015,天坛奖 Tiantan Award
沉默的河 El silencio del río,"
                            Carlos Tribiño Mamby
                        ",2015,天坛奖 Tiantan Award
无花果与黄蜂 Attihannu Mattu Kanaja,"
                            Prakash Babu M.S.
                        ",2015,天坛奖 Tiantan Award
白夜 Белая белая ночь,"
                            拉米尔·萨尔霍乌德诺夫
                        ",2015,天坛奖 Tiantan Award
孩子 Deti,"
                            亚罗什·沃伊泰克
                        ",2015,天坛奖 Tiantan Award
无常 موقت,"
                            Amir Azizi
                        ",2015,天坛奖 Tiantan Award
让-雅克·阿诺 Jean-Jacques Annaud,"
                            马雷克·雷斯卡克
                        ",2015,天坛奖 Tiantan Award
