Code,Definition
A18.16,Tuberculosis of cervix
A18.17,Tuberculous female pelvic inflammatory disease
A18.18,Tuberculosis of other female genital organs
A34,Obstetrical tetanus
A51.42,Secondary syphilitic female pelvic disease
A54.02,"Gonococcal vulvovaginitis, unspecified"
A54.03,"Gonococcal cervicitis, unspecified"
A54.24,Gonococcal female pelvic inflammatory disease
A56.02,Chlamydial vulvovaginitis
A56.11,Chlamydial female pelvic inflammatory disease
A59.01,Trichomonal vulvovaginitis
A60.03,Herpesviral cervicitis
A60.04,Herpesviral vulvovaginitis
B37.31,Acute candidiasis of vulva and vagina
B37.32,Chronic candidiasis of vulva and vagina
C50.011,"Malignant neoplasm of nipple and areola, right female breast"
C50.012,"Malignant neoplasm of nipple and areola, left female breast"
C50.019,"Malignant neoplasm of nipple and areola, unspecified female breast"
C50.111,Malignant neoplasm of central portion of right female breast
C50.112,Malignant neoplasm of central portion of left female breast
C50.119,Malignant neoplasm of central portion of unspecified female breast
C50.211,Malignant neoplasm of upper-inner quadrant of right female breast
C50.212,Malignant neoplasm of upper-inner quadrant of left female breast
C50.219,Malignant neoplasm of upper-inner quadrant of unspecified female breast
C50.311,Malignant neoplasm of lower-inner quadrant of right female breast
C50.312,Malignant neoplasm of lower-inner quadrant of left female breast
C50.319,Malignant neoplasm of lower-inner quadrant of unspecified female breast
C50.411,Malignant neoplasm of upper-outer quadrant of right female breast
C50.412,Malignant neoplasm of upper-outer quadrant of left female breast
C50.419,Malignant neoplasm of upper-outer quadrant of unspecified female breast
C50.511,Malignant neoplasm of lower-outer quadrant of right female breast
C50.512,Malignant neoplasm of lower-outer quadrant of left female breast
C50.519,Malignant neoplasm of lower-outer quadrant of unspecified female breast
C50.611,Malignant neoplasm of axillary tail of right female breast
C50.612,Malignant neoplasm of axillary tail of left female breast
C50.619,Malignant neoplasm of axillary tail of unspecified female breast
C50.811,Malignant neoplasm of overlapping sites of right female breast
C50.812,Malignant neoplasm of overlapping sites of left female breast
C50.819,Malignant neoplasm of overlapping sites of unspecified female breast
C50.911,Malignant neoplasm of unspecified site of right female breast
C50.912,Malignant neoplasm of unspecified site of left female breast
C50.919,Malignant neoplasm of unspecified site of unspecified female breast
C51.0,Malignant neoplasm of labium majus
C51.1,Malignant neoplasm of labium minus
C51.2,Malignant neoplasm of clitoris
C51.8,Malignant neoplasm of overlapping sites of vulva
C51.9,"Malignant neoplasm of vulva, unspecified"
C52,Malignant neoplasm of vagina
C53.0,Malignant neoplasm of endocervix
C53.1,Malignant neoplasm of exocervix
C53.8,Malignant neoplasm of overlapping sites of cervix uteri
C53.9,"Malignant neoplasm of cervix uteri, unspecified"
C54.0,Malignant neoplasm of isthmus uteri
C54.1,Malignant neoplasm of endometrium
C54.2,Malignant neoplasm of myometrium
C54.3,Malignant neoplasm of fundus uteri
C54.8,Malignant neoplasm of overlapping sites of corpus uteri
C54.9,"Malignant neoplasm of corpus uteri, unspecified"
C55,"Malignant neoplasm of uterus, part unspecified"
C56.1,Malignant neoplasm of right ovary
C56.2,Malignant neoplasm of left ovary
C56.3,Malignant neoplasm of bilateral ovaries
C56.9,Malignant neoplasm of unspecified ovary
C57.00,Malignant neoplasm of unspecified fallopian tube
C57.01,Malignant neoplasm of right fallopian tube
C57.02,Malignant neoplasm of left fallopian tube
C57.10,Malignant neoplasm of unspecified broad ligament
C57.11,Malignant neoplasm of right broad ligament
C57.12,Malignant neoplasm of left broad ligament
C57.20,Malignant neoplasm of unspecified round ligament
C57.21,Malignant neoplasm of right round ligament
C57.22,Malignant neoplasm of left round ligament
C57.3,Malignant neoplasm of parametrium
C57.4,"Malignant neoplasm of uterine adnexa, unspecified"
C57.7,Malignant neoplasm of other specified female genital organs
C57.8,Malignant neoplasm of overlapping sites of female genital organs
C57.9,"Malignant neoplasm of female genital organ, unspecified"
C58,Malignant neoplasm of placenta
C79.60,Secondary malignant neoplasm of unspecified ovary
C79.61,Secondary malignant neoplasm of right ovary
C79.62,Secondary malignant neoplasm of left ovary
C79.63,Secondary malignant neoplasm of bilateral ovaries
D06.0,Carcinoma in situ of endocervix
D06.1,Carcinoma in situ of exocervix
D06.7,Carcinoma in situ of other parts of cervix
D06.9,"Carcinoma in situ of cervix, unspecified"
D07.0,Carcinoma in situ of endometrium
D07.1,Carcinoma in situ of vulva
D07.2,Carcinoma in situ of vagina
D07.30,Carcinoma in situ of unspecified female genital organs
D07.39,Carcinoma in situ of other female genital organs
