Code,Definition
A18.14,Tuberculosis of prostate
A18.15,Tuberculosis of other male genital organs
A54.22,Gonococcal prostatitis
A54.23,Gonococcal infection of other male genital organs
A59.02,Trichomonal prostatitis
A60.01,Herpesviral infection of penis
A60.02,Herpesviral infection of other male genital organs
B26.0,Mumps orchitis
B37.42,Candidal balanitis
B38.81,Prostatic coccidioidomycosis
C50.021,"Malignant neoplasm of nipple and areola, right male breast"
C50.022,"Malignant neoplasm of nipple and areola, left male breast"
C50.029,"Malignant neoplasm of nipple and areola, unspecified male breast"
C50.121,Malignant neoplasm of central portion of right male breast
C50.122,Malignant neoplasm of central portion of left male breast
C50.129,Malignant neoplasm of central portion of unspecified male breast
C50.221,Malignant neoplasm of upper-inner quadrant of right male breast
C50.222,Malignant neoplasm of upper-inner quadrant of left male breast
C50.229,Malignant neoplasm of upper-inner quadrant of unspecified male breast
C50.321,Malignant neoplasm of lower-inner quadrant of right male breast
C50.322,Malignant neoplasm of lower-inner quadrant of left male breast
C50.329,Malignant neoplasm of lower-inner quadrant of unspecified male breast
C50.421,Malignant neoplasm of upper-outer quadrant of right male breast
C50.422,Malignant neoplasm of upper-outer quadrant of left male breast
C50.429,Malignant neoplasm of upper-outer quadrant of unspecified male breast
C50.521,Malignant neoplasm of lower-outer quadrant of right male breast
C50.522,Malignant neoplasm of lower-outer quadrant of left male breast
C50.529,Malignant neoplasm of lower-outer quadrant of unspecified male breast
C50.621,Malignant neoplasm of axillary tail of right male breast
C50.622,Malignant neoplasm of axillary tail of left male breast
C50.629,Malignant neoplasm of axillary tail of unspecified male breast
C50.821,Malignant neoplasm of overlapping sites of right male breast
C50.822,Malignant neoplasm of overlapping sites of left male breast
C50.829,Malignant neoplasm of overlapping sites of unspecified male breast
C50.921,Malignant neoplasm of unspecified site of right male breast
C50.922,Malignant neoplasm of unspecified site of left male breast
C50.929,Malignant neoplasm of unspecified site of unspecified male breast
C60.0,Malignant neoplasm of prepuce
C60.1,Malignant neoplasm of glans penis
C60.2,Malignant neoplasm of body of penis
C60.8,Malignant neoplasm of overlapping sites of penis
C60.9,"Malignant neoplasm of penis, unspecified"
C61,Malignant neoplasm of prostate
C62.00,Malignant neoplasm of unspecified undescended testis
C62.01,Malignant neoplasm of undescended right testis
C62.02,Malignant neoplasm of undescended left testis
C62.10,Malignant neoplasm of unspecified descended testis
C62.11,Malignant neoplasm of descended right testis
C62.12,Malignant neoplasm of descended left testis
C62.90,"Malignant neoplasm of unspecified testis, unspecified whether descended or undescended"
C62.91,"Malignant neoplasm of right testis, unspecified whether descended or undescended"
C62.92,"Malignant neoplasm of left testis, unspecified whether descended or undescended"
C63.00,Malignant neoplasm of unspecified epididymis
C63.01,Malignant neoplasm of right epididymis
C63.02,Malignant neoplasm of left epididymis
C63.10,Malignant neoplasm of unspecified spermatic cord
C63.11,Malignant neoplasm of right spermatic cord
C63.12,Malignant neoplasm of left spermatic cord
C63.2,Malignant neoplasm of scrotum
C63.7,Malignant neoplasm of other specified male genital organs
C63.8,Malignant neoplasm of overlapping sites of male genital organs
C63.9,"Malignant neoplasm of male genital organ, unspecified"
D07.4,Carcinoma in situ of penis
D07.5,Carcinoma in situ of prostate
